,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"LIHLCHT101-SS","810312-024591 / #24591 HIGH LOW CURVED HEM TUNIC S-XL (T9152)",,"EACH (EA)",999.00
,"LIHLCHT102-SS","810312-024652 / #24652 HIGH LOW CURVED HEM TUNIC 2XL-3XL (T9152)",,"EACH (EA)",999.00
,"LIJJ101-AY","810312-022177 / #22177 JEAN JEGGING S-M (J7742)",,"EACH (EA)",9
,"LIJJ102-AY","810312-022542 / #22542 JEAN JEGGING L-XL (J7742)",,"EACH (EA)",9
,"LIKC101-FW","810312-022986 / #22986 KIMONO CARDIGAN S-M (C8693)",,"EACH (EA)",999.00
,"LIKC102-FW","810312-022993 / #22993 KIMONO CARDIGAN L-XL (C8693)",,"EACH (EA)",999.00
,"LIKFT201-FW","810312-022818 / #22818 KNOT FRONT TUNIC S-M (T1825)",,"EACH (EA)",999.00
,"LIKFT202-FW","810312-022825 / #22825 KNOT FRONT TUNIC L-XL (T1825)",,"EACH (EA)",999.00
,"LILP101-AY","810312-022696 / #22696 LOUNGE PANTS S-M (P9602)",,"EACH (EA)",999.00
,"LILP102-AY","810312-022702 / #22702 LOUNGE PANTS L-XL (P9602)",,"EACH (EA)",999.00
,"LILP201-AY","810312-023556 / #23556 LOUNGE PANTS S-M (P5663)",,"EACH (EA)",10
,"LILP202-AY","810312-023563 / #23563 LOUNGE PANTS L-XL (P5663)",,"EACH (EA)",10
,"LILSTT201-FW","810312-021279 / #21279 LONG SLEEVE THERMAL TOP S-M (T7997)",,"EACH (EA)",999.00
,"LILSTT202-FW","810312-022580 / #22580 LONG SLEEVE THERMAL TOP L-XL (T7997)",,"EACH (EA)",999.00
,"LILSTT203-FW","810312-022597 / #22597 LONG SLEEVE THERMAL TOP 2XL-3XL (T7997)",,"EACH (EA)",999.00
,"LIODJ301-AY","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J4723)",,"EACH (EA)",10.5
,"LIODJ302-AY","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J4723)",,"EACH (EA)",10.5
,"LIODJ303-AY","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J4723)",,"EACH (EA)",10.5
,"LIODJ401-AY","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)",,"EACH (EA)",10.5
,"LIODJ402-AY","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)",,"EACH (EA)",10.5
,"LIODJ403-AY","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)",,"EACH (EA)",10.5
,"LIODJ501-AY","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J7430)",,"EACH (EA)",999.00
,"LIODJ502-AY","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J7430)",,"EACH (EA)",999.00
,"LIOFC101-FW","810312-022498 / #22498 OPEN FRONT CARDIGAN S-M (C9804)",,"EACH (EA)",999.00
,"LIOFC102-FW","810312-022504 / #22504 OPEN FRONT CARDIGAN L-XL (C9804)",,"EACH (EA)",999.00
,"LIP34WKT401-AY","810312-023518 / #23518 PRINTED 3-4 WAFFLE KNIT TUNIC (T5218)",,"EACH (EA)",999.00
,"LIPBST101-SS","810312-023099 / #23099 PRINTED BISHOP SLEEVE TUNIC S-XL (T0599)",,"EACH (EA)",999.00
,"LIPBST102-SS","810312-023105 / #23105 PRINTED BISHOP SLEEVE TUNIC 2XL-3XL (T0599)",,"EACH (EA)",999.00
,"LIPBST201-SS","810312-024492 / #24492 PRINTED BISHOP SLEEVE TUNIC S-XL (T9208)",,"EACH (EA)",999.00
,"LIPBST202-SS","810312-024508 / #24508 PRINTED BISHOP SLEEVE TUNIC 2XL-3XL (T9208)",,"EACH (EA)",999.00
,"LIPDFM101-AY","810312-023372 / #23372 PRINTED DISP FACE MASK - KIDS (M6572)",,"EACH (EA)",999.00
,"LIPDFM102-AY","810312-023365 / #23365 PRINTED DISP FACE MASK - ADULT (M6572)",,"EACH (EA)",999.00
,"LIPDJ201-AY","810312-021552 / #21552 PRINTED JEGGING S-M (P5232)",,"EACH (EA)",9
,"LIPDJ202-AY","810312-022832 / #22832 PRINTED JEGGING L-XL (P5232)",,"EACH (EA)",9
,"LIPDJ301-AY","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)",,"EACH (EA)",10.5
,"LIPDJ302-AY","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)",,"EACH (EA)",10.5
,"LIPDJ303-AY","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)",,"EACH (EA)",10.5
,"LIPDST101-FW","810312-024331 / #24331 PRINTED DROP SHOULDER TUNIC (T3148)",,"EACH (EA)",999.00
,"LIPDST102-FW","810312-024348 / #24348 PRINTED DROP SHOULDER TUNIC 2XL-3XL (T3148)",,"EACH (EA)",999.00
,"LIPHC101-FW","810312-023532 / #23532 PRINTED HOODED CARDIGAN (C3249)",,"EACH (EA)",999.00
,"LIPHHT101-FW","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)",,"EACH (EA)",999.00
,"LIPHHT102-FW","810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259)",,"EACH (EA)",999.00
,"LIPKT101-FW","810312-023266 / #23266 PLUSH KNIT TUNIC S-XL (T6673)",,"EACH (EA)",999.00
,"LIPKT102-FW","810312-023273 / #23273 PLUSH KNIT TUNIC 2XL-3XL (T6673)",,"EACH (EA)",999.00
,"LIPOS101-FW","810312-020234 / #20234 PULL OVER SHAWL (S3455)",,"EACH (EA)",999.00
,"LIPOS102-FW","810312-021255 / #21255 PRINTED SWEATER VEST (S3455)",,"EACH (EA)",999.00
,"LIPP201-FW","810312-020340 / #20340 PLUSH PANTS S-M (P4073)",,"EACH (EA)",999.00
,"LIPP202-FW","810312-022573 / #22573 PLUSH PANTS L-XL (P4073)",,"EACH (EA)",999.00
,"LIPPP201-SS","810312-020555 / #20555 PRINTED PALAZZO PANTS S-XL (P5590)",,"EACH (EA)",999.00
,"LIPPP202-SS","810312-020890 / #20890 2XL-3XL-PRINT PALAZO PANTS (P5590)",,"EACH (EA)",999.00
,"LIPPST101-FW","810312-021705 / #21705 PRINTED POCKET SWING TUNIC S-M (T0541)",,"EACH (EA)",999.00
,"LIPPST102-FW","810312-022641 / #22641 PRINTED POCKET SWING TUNIC L-XL (T0541)",,"EACH (EA)",999.00
,"LIPPST301-FW","810312-021705 / #21705 PRINTED POCKET SWING TUNIC S-XL (T7205)",,"EACH (EA)",999.00
,"LIPPST302-FW","810312-022672 / #22672 PRINT PKT SWG TUNIC 2XL-3XL (T7205)",,"EACH (EA)",999.00
,"LIPRHBST101-FW","810312-023280 / #23280 PRINTED RD HEM BISHOP SLE TUNIC S-XL (T8097)",,"EACH (EA)",999.00
,"LIPRHBST102-FW","810312-023297 / #23297 PRINTED RD HEM BISHOP SLE TUNIC 2XL-3XL (T8097)",,"EACH (EA)",999.00
,"LIPSD101-SS","810312-024638 / #24638 PRINTED SHIRTTAIL DRESS S-XL (D3845)",,"EACH (EA)",999.00
,"LIPSD102-SS","810312-024645 / #24645 PRINTED SHIRTTAIL DRESS 2XL-3XL (D3845)",,"EACH (EA)",999.00
,"LIPSSPT101-SS","810312-024577 / #245771 PRINTED SHORT SLEEVE POCKET TUNIC S-XL (T7784)",,"EACH (EA)",999.00
,"LIPSSPT102-SS","810312-024584 / #24584 PRINTED SHORT SLEEVE POCKET TUNIC 2XL-3XL (T7784)",,"EACH (EA)",999.00
,"LIPSST101-FW","810312-024119 / #24119 PRINTED V-NECK SIDE SLIT TUNIC S-XL (T1926)",,"EACH (EA)",999.00
,"LIPSST102-FW","810312-024126 / #24126 PRINTED V-NECK SIDE SLIT TUNIC 2XL-3XL (T1926)",,"EACH (EA)",999.00
,"LIPTPP101-SS","810312-023075 / #23075 PRINTED TASSEL TIE PALAZZO PANTS S-XL (P7582)",,"EACH (EA)",9
,"LIPTPP102-SS","810312-023082 / #23082 PRINTED TASSEL TIE PALAZZO PANTS 2XL-3XL (P7582)",,"EACH (EA)",9
,"LIPTPP201-SS","810312-024393 / #24393 PRINTED TASSEL TIE PALAZZO PANTS S-XL (P9309)",,"EACH (EA)",999.00
,"LIPTPP202-SS","810312-024409 / #24409 PRINTED TASSEL TIE PALAZZO PANTS 2XL-3XL (P9309)",,"EACH (EA)",999.00
,"LIPVN34BCT201-AY","810312-023211 / #23211 PRINT V-NECK 3-4 BAND CLR TUNIC (T0411)",,"EACH (EA)",999.00
,"LIPVN34ST101-AY","810312-022238 / #22238 PRINT V-NECK 3-4 SL TUNIC S-M (T5038)",,"EACH (EA)",999.00
,"LIPVN34ST102-AY","810312-022245 / #22245 PRINT V-NECK 3-4 SL TUNIC L-XL (T5038)",,"EACH (EA)",999.00
,"LIRHSST101-AY","810312-022559 / #22559 ROUNDED HEM SS TEE S-M (T5966)",,"EACH (EA)",999.00
,"LIRHSST102-AY","810312-022566 / #22566 ROUNDED HEM SS TEE L-XL (T5966)",,"EACH (EA)",999.00
,"LIRKP101-FW","810312-023327 / #23327 RIBBED KNIT PANTS S-XL (P2734)",,"EACH (EA)",999.00
,"LIRKP102-FW","810312-023334 / #23334 RIBBED KNIT PANTS 2XL-3XL (P2734)",,"EACH (EA)",999.00
,"LIRUST101-FW","810312-021729 / #21729 ROLL UP SLEEVE TUNIC S-M (T2919)",,"EACH (EA)",999.00
,"LIRUST102-FW","810312-022719 / #22719 ROLL UP SLEEVE TUNIC L-XL (T2919)",,"EACH (EA)",999.00
,"LIS34PBT402-AY","810312-023525 / #23525 SOLID 3-4 PLEAT BACK TUNIC (T5218)",,"EACH (EA)",999.00
,"LISBST101-SS","810312-024201 / #24201 SOLID BACK SLIT TUNIC S-XL (T1801)",,"EACH (EA)",999.00
,"LISBST102-SS","810312-024218 / #24218 SOLID BACK SLIT TUNIC 2XL-3XL (T1801)",,"EACH (EA)",999.00
,"LISBT201-FW","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)",,"EACH (EA)",999.00
,"LISBT202-FW","810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633)",,"EACH (EA)",999.00
,"LISC101-AY","810312-022511 / #22511 SEAMLESS CAMISOLE S-M (T1128)",,"EACH (EA)",999.00
,"LISC102-AY","810312-022528 / #22528 SEAMLESS CAMISOLE L-2XL (T1128)",,"EACH (EA)",999.00
,"LISCL101-AY","810312-023488 / #23488 SOLID COTTON WIDE WTBD LEGS S-XL (L9588)",,"EACH (EA)",8
,"LISCL102-AY","810312-023495 / #23495 SOLID COTTON WIDE WTBD LEGS 2XL-3XL (L9588)",,"EACH (EA)",8
,"LISCL201-AY","810312-024287 / #24287 SOLID COTTON LEGGINGS S-XL (L8794)",,"EACH (EA)",999.00
,"LISCL202-AY","810312-024294 / #24294 SOLID COTTON LEGGINGS 2XL-3XL (L8794)",,"EACH (EA)",999.00
,"LISCP101-AY","810312-023389 / #23389 SOLID CASUAL PANTS S-XL (P8957)",,"EACH (EA)",999.00
,"LISCP102-AY","810312-024157 / #24157 SOLID CASUAL PANTS 2XL-3XL (P8957)",,"EACH (EA)",999.00
,"LISDJ101-AY","810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5153)",,"EACH (EA)",8.8
,"LISDJ102-AY","810312-023358 / #23358 SOLID DENIM JEGGING L-XL (J5153)",,"EACH (EA)",8.8
,"LISDJ103-AY","810312-021453 / #21453 SOLID DENIM JEGGING 2XL-3XL (J5153)",,"EACH (EA)",8.8
,"LISDJ201-AY","810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5853)",,"EACH (EA)",8.8
,"LISDJ202-AY","810312-023358 / #23358 SOLID DENIM JEGGING L-XL (J5853)",,"EACH (EA)",8.8
,"LISDJ203-AY","810312-021453 / #21453 SOLID DENIM JEGGING 2XL-3XL (J5853)",,"EACH (EA)",8.8
,"LISFL201-FW","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS S-L (L5634)",,"EACH (EA)",3.75
,"LISFL202-FW","810312-022634 / #22634 SEAMLESS FLEECE LEGGINGS L-XXL (L5634)",,"EACH (EA)",3.75
,"LISFL301-FW","810312-023907 / #23907 SEAMLESS FLEECE LEGGINGS (L1407)",,"EACH (EA)",999.00
,"LISFL302-FW","810312-023914 / #23914 TEXTURED FLEECE LEGGINGS (L1407)",,"EACH (EA)",999.00
,"LISHC101-FW","810312-023549 / #23549 SOLID HOODED CARDIGAN (C3249)",,"EACH (EA)",999.00
,"LISJJ101-AY","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)",,"EACH (EA)",11.5
,"LISJJ102-AY","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)",,"EACH (EA)",11.5
,"LISJJ103-AY","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)",,"EACH (EA)",11.5
,"LISPPT101-SS","810312-024478 / #024478 PRINTED POCKET SLEEVELSS TUNIC (T7885)",,"EACH (EA)",999.00
,"LISPPT102-SS","810312-024485 / #024485 PRINTED POCKET SLVELSS TUN 2XL-3XL(T7885)",,"EACH (EA)",999.00
,"LISPSLT101-SS","810312-024614 / #24614 SOLID POCKET SLEEVELESS TUNIC S-XL (T1421)",,"EACH (EA)",999.00
,"LISPSLT102-SS","810312-024621 / #24621 SOLID POCKET SLEEVELESS TUNIC 2XL-3XL (T1421)",,"EACH (EA)",999.00
,"LISPST101-FW","810312-021712 / #21712 SOLID POCKET SWING TUNIC S-M (T1258)",,"EACH (EA)",999.00
,"LISPST102-FW","810312-022658 / #22658 SOLID POCKET SWING TUNIC L-XL (T1258)",,"EACH (EA)",999.00
,"LISPST201-FW","810312-021712 / #21712 SOLID POCKET SWING TUNIC S-XL (T1289)",,"EACH (EA)",999.00
,"LISPST202-FW","810312-022689 / #22689 2XL-3XL SOLID PKT SWG TUNIC (T1289)",,"EACH (EA)",999.00
,"LISPUFFS101-FW","810312-024133 / #24133 SOLID PUFF SLEEVE TUNIC S-XL (T3340)",,"EACH (EA)",999.00
,"LISPUFFS102-FW","810312-024140 / #24140 SOLID PUFF SLEEVE TUNIC 2XL-3XL (T3340)",,"EACH (EA)",999.00
,"LISSCS101-SS","810312-024539 / #24539 PRINT S. SOFT CASUAL SHORTS (S3960)",,"EACH (EA)",999.00
,"LISSCS102-SS","810312-024546 / #24546 PRINT S. SOFT CASUAL SHORTS 2XL-3XL (S3960)",,"EACH (EA)",999.00
,"LISSCS103-SS","810312-024553 / #24553 SOLID S. SOFT CASUAL SHORTS (S3960)",,"EACH (EA)",999.00
,"LISSCS104-SS","810312-024560 / #24560 SOLID S. SOFT CASUAL SHORTS 2XL-3XL (S3960)",,"EACH (EA)",999.00
,"LISSH101-AY","810312-023006 / #23006 SUPER SOFT HOODIE S-M (T0613)",,"EACH (EA)",999.00
,"LISSH102-AY","810312-023013 / #23013 SUPER SOFT HOODIE L-XL (T0613)",,"EACH (EA)",999.00
,"LISSHT101-SS","810312-023457 / #23457 SOLID SYM HEMLINE TUNIC S-XL (T5764)",,"EACH (EA)",999.00
,"LISSHT102-SS","810312-023464 / #23464 SOLID SYM HEMLINE TUNIC 2XL-3XL (T5764)",,"EACH (EA)",999.00
,"LISSHT201-SS","810312-024430 / #24430 SOLID SYM HEMLINE TUNIC S-XL (T4730)",,"EACH (EA)",999.00
,"LISSHT202-SS","810312-024447 / #24447 SOLID SYM HEMLINE TUNIC 2XL-3XL (T4730)",,"EACH (EA)",999.00
,"LISSL101-AY","810312-022290 / #22290 SUP SOFT LEG PRINT S-L (L9006)",,"EACH (EA)",999.00
,"LISSL102-AY","810312-022306 / #22306 SUP SOFT LEG PRINT L-2XL (L9006)",,"EACH (EA)",999.00
,"LISSL111-AY","810312-022313 / #22313 SUP SOFT LEG SOLID BLK S-L (L1320)",,"EACH (EA)",999.00
,"LISSL112-AY","810312-022320 / #22320 SUP SOFT LEG SOLID BLK L-2XL (L1320)",,"EACH (EA)",999.00
,"LISSL113-AY","810312-022337 / #22337 SUP SOFT LEG SOLID NVY S-L (L1320)",,"EACH (EA)",999.00
,"LISSL114-AY","810312-022344 / #22344 SUP SOFT LEG SOLID NVY L-2XL (L1320)",,"EACH (EA)",999.00
,"LISSL115-AY","810312-022351 / #22351 SUP SOFT LEG SOLID GRY S-L (L1320)",,"EACH (EA)",999.00
,"LISSL116-AY","810312-022368 / #22368 SUP SOFT LEG SOLID GRY L-2XL (L1320)",,"EACH (EA)",999.00
,"LISSL117-AY","810312-022375 / #22375 SUP SOFT LEG SOLID BGY S-L (L1320)",,"EACH (EA)",999.00
,"LISSL118-AY","810312-022382 / #22382 SUP SOFT LEG SOLID BGY L-2XL (L1320)",,"EACH (EA)",999.00
,"LISSL201-AY","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)",,"EACH (EA)",4
,"LISSL202-AY","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)",,"EACH (EA)",4
,"LISSL203-AY","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)",,"EACH (EA)",4
,"LISSL301-AY","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)",,"EACH (EA)",4
,"LISSL302-AY","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)",,"EACH (EA)",4
,"LISSL303-AY","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)",,"EACH (EA)",4
,"LISSLLS101-AY","810312-023648 / #23648 VALENTINES SUP SOFT LEG S-2XL (L4855)",,"EACH (EA)",999.00
,"LISSLLS102-AY","810312-023655 / #23655 LOUNGE SET (L4855)",,"EACH (EA)",999.00
,"LISSPT101-SS","810312-024188 / #24188 SOLID SHORT SLEEVE POCKET TUNIC S-XL (T5898)",,"EACH (EA)",999.00
,"LISSPT102-SS","810312-024195 / #24195 SOLID SHORT SLEEVE POCKET TUNIC 2XL-3XL (T5898)",,"EACH (EA)",999.00
,"LISST101-AY","810312-022559 / #22559 SOLID SUPER SOFT TEE S-M (T5937)",,"EACH (EA)",999.00
,"LISST102-AY","810312-022566 / #22566 SOLID SUPER SOFT TEE L-XL (T5937)",,"EACH (EA)",999.00
,"LISST103-AY","810312-023020 / #23020 PRINTED SUPER SOFT TEE S-M (T5937)",,"EACH (EA)",999.00
,"LISST104-AY","810312-023037 / #23037 PRINTED SUPER SOFT TEE L-XL (T5937)",,"EACH (EA)",999.00
,"LISUS101-AY","810312-023778 / #23778 SOLID UNISEX SCRUB S (S7808)",,"EACH (EA)",999.00
,"LISUS102-AY","810312-023785 / #23785 SOLID UNISEX SCRUB M (S7808)",,"EACH (EA)",999.00
,"LISUS103-AY","810312-023792 / #23792 SOLID UNISEX SCRUB L (S7808)",,"EACH (EA)",999.00
,"LISUS104-AY","810312-023808 / #23808 SOLID UNISEX SCRUB XL (S7808)",,"EACH (EA)",999.00
,"LISVN34BST202-AY","810312-023204 / #23204 SOLID V-NECK 3-4 BELL SL TUNIC (T0411)",,"EACH (EA)",999.00
,"LISVN34ST101-AY","810312-022450 / #22450 SOLID V-NECK 3-4 SL TUNIC S-M (T5038)",,"EACH (EA)",999.00
,"LISVN34ST102-AY","810312-022467 / #22467 SOLID V-NECK 3-4 SL TUNIC L-XL (T5038)",,"EACH (EA)",999.00
,"LITFL201-FW","810312-021668 / #21668 TEXTURED FLEECE LEGGINGS S-L (L6843)",,"EACH (EA)",3.75
,"LITFL202-FW","810312-022443 / #22443 TEXTURED FLEECE LEGGINGS L-XXL (L6843)",,"EACH (EA)",3.75
,"LIUFFH101-FW","810312-024003 / #24003 UNISEX FULL-ZIP FLEECE HOODIE S (T2703)",,"EACH (EA)",999.00
,"LIUFFH102-FW","810312-024010 / #24010 UNISEX FULL-ZIP FLEECE HOODIE M-L (T2703)",,"EACH (EA)",999.00
,"LIUFFH103-FW","810312-024027 / #24027 UNISEX FULL-ZIP FLEECE HOODIE XL (T2703)",,"EACH (EA)",999.00
,"LIUFJP101-FW","810312-023976 / #23976 UNISEX FLEECE JOGGER PANTS S (P7690)",,"EACH (EA)",999.00
,"LIUFJP102-FW","810312-023983 / #23983 UNISEX FLEECE JOGGER PANTS M-L (P7690)",,"EACH (EA)",999.00
,"LIUFJP103-FW","810312-023990 / #23990 UNISEX FLEECE JOGGER PANTS XL (P7690)",,"EACH (EA)",999.00
,"LIUFPP101-FW","810312-024041 / #24041 UNISEX FLANNEL PAJAMA PANTS S (P4165)",,"EACH (EA)",999.00
,"LIUFPP102-FW","810312-024058 / #24058 UNISEX FLANNEL PAJAMA PANTS M-L (P4165)",,"EACH (EA)",999.00
,"LIUFPP103-FW","810312-024065 / #24065 UNISEX FLANNEL PAJAMA PANTS XL (P4165)",,"EACH (EA)",999.00
,"LIUHS101-FW","810312-024089 / #24089 UNISEX HOLIDAY SWEATSHIRT S (S8902)",,"EACH (EA)",999.00
,"LIUHS102-FW","810312-024096 / #24096 UNISEX HOLIDAY SWEATSHIRT M-L (S8902)",,"EACH (EA)",999.00
,"LIUHS103-FW","810312-024102 / #24102 UNISEX HOLIDAY SWEATSHIRT XL (S8902)",,"EACH (EA)",999.00
,"LIULDJ101-FW","810312-022849 / #22849 ULTRA LIGHT DOWN JACKET S-M BLK (T4955)",,"EACH (EA)",999.00
,"LIULDJ102-FW","810312-022856 / #22856 ULTRA LIGHT DOWN JACKET L BLK (T4955)",,"EACH (EA)",999.00
,"LIULDJ103-FW","810312-022863 / #22863 ULTRA LIGHT DOWN JACKET XL BLK (T4955)",,"EACH (EA)",999.00
,"LIULDJ104-FW","810312-022870 / #22870 ULTRA LIGHT DOWN JACKET S-M GRY (T4955)",,"EACH (EA)",999.00
,"LIULDJ105-FW","810312-022887 / #22887 ULTRA LIGHT DOWN JACKET L GRY (T4955)",,"EACH (EA)",999.00
,"LIULDJ106-FW","810312-022894 / #22894 ULTRA LIGHT DOWN JACKET XL GRY (T4955)",,"EACH (EA)",999.00
,"LIULDJ107-FW","810312-022900 / #22900 ULTRA LIGHT DOWN JACKET S-M BGY (T4955)",,"EACH (EA)",999.00
,"LIULDJ108-FW","810312-022917 / #22917 ULTRA LIGHT DOWN JACKET L BGY (T4955)",,"EACH (EA)",999.00
,"LIULDJ109-FW","810312-022924 / #22924 ULTRA LIGHT DOWN JACKET XL BGY (T4955)",,"EACH (EA)",999.00
,"LIULDJ110-FW","810312-022931 / #22931 ULTRA LIGHT DOWN JACKET S-M BLH (T4955)",,"EACH (EA)",999.00
,"LIULDJ111-FW","810312-022948 / #22948 ULTRA LIGHT DOWN JACKET L BLH (T4955)",,"EACH (EA)",999.00
,"LIULDJ112-FW","810312-022955 / #22955 ULTRA LIGHT DOWN JACKET XL BLH (T4955)",,"EACH (EA)",999.00
,"LIVFLT101-SS","810312-023044 / #23044 V-NECK FULL LACE TUNIC (T4487)",,"EACH (EA)",999.00
,"LIVFLT102-SS","810312-021187 / #21187 FULL LACE TUNIC (T4487)",,"EACH (EA)",999.00
,"LIWWCL101-AY","810312-023143 / #23143 WIDE WTBD COTTON LEGS S-XL (PWP)",,"EACH (EA)",999.00
,"MC - MASTER CARTON","CASE - MISCELLANEOUS",,"CASE (CS)",0.00
,"MCTXT100-SHIPPER","10810312021504 / SHIPPER OF 20 OZ TX TUMBLER (48 / SHIPPER)",,"CASE (CS)",0.00
,"MCWT-SHIPPER","10810312021535 / SHIPPER OF WINE TUMBLERS (48 / SHIPPER)",,"CASE (CS)",0.00
,"MISCELLANEOUS-AY","MISCELLANEOUS CLOSEOUTS",,"EACH (EA)",999.00
,"NRB10","NUMBER OF RETURN BOXES",,"CASE (CS)",0.00
,"RL10","RETURN LABEL",,"EACH (EA)",0.00
,"SAMPLES10","SAMPLES",,"CASE (CS)",0.00
,"TEMP2","810312-021583 / #21583 CLINCHIE",,"EACH (EA)",999.00
,"TEMP3","810312-021590 / #21590 EYE GLASS HOLDER",,"EACH (EA)",999.00
,"XXXX10100-AY","COUNTER DISPLAY RACK - 2 TIER",,"EACH (EA)",999.00
,"XXXX10204-AY","BLACK COUNTER SPINNER RACK",,"EACH (EA)",999.00
,"XXXX10212-AY","04-001CH / BLACK FOUR WAY RACK",,"EACH (EA)",999.00
,"XXXX10216-AY","63-304CH / ATTACHMENT ARM - CHROME",,"EACH (EA)",999.00
,"CD1","CREDIT DISCREPANCY - MISSING RETURNS DATA (INTERNAL ERROR)",,"EACH (EA)",0.00
,"KEYREC1","KEYREC REIMBURSEMENT",,,0.00
,"MD1","MISC. CUSTOMER DEDUCTION",,"EACH (EA)",0.00
,"N1-CVS F/W","FALL/WINTER TRANSITION ORDER:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS AND RETURN LABELS ARE...",,,0.00
,"N1-CVS S/S","SPRING/SUMMER TRANSITION ORDER:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS AND RETURN LABELS A...",,,0.00
,"N2-GS F/W","FALL/WINTER TRANSITION ORDER PER CATEGORY MANAGER:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS ...",,,0.00
,"N2-GS S/S","SPRING/SUMMER TRANSITION ORDER PER CATEGORY MANAGER:........PLEASE SEE PLANOGRAM FOR INSTRUCTION...",,,0.00
,"N3-BTS","BACK TO SCHOOL PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...-------------------------...",,,0.00
,"N3-FFM","FACE MASK PROGRAM:........CPSIA CERTIFICATE:..https://www.winwinproducts.com/cpsia/facecoverings...",,,0.00
,"N3-NDGB","CVS Holiday 2021 Night Dress W/Cozy Socks Box Set:........--------------------------------------...",,,0.00
,"N3-OPTIN","BEACH WEAR PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...-----------------------------...",,,0.00
,"N3-Program","2022 SUMMER DRESS PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...----------------------...",,,0.00
,"N3-PW","POWER WING PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...-----------------------------...",,,0.00
,"N3-Standard","LOUNGE WEAR PROGRAM:........PLEASE SEE PLANOGRAM FOR INSTRUCTIONS...----------------------------...",,,0.00
,"N4-RO","Replenishment Authorized by CVS Corporate..WinWin Support: 469-733-5867 or support@winwinproduct...",,,0.00
,"OC1","OVER CHARGE BY CUSTOMER",,,0.00
,"POGBTS21-8'","POG: BTS21-8'",,"EACH (EA)",0.00
,"POGFW21-10'","POG: FW21-10'",,"EACH (EA)",0.00
,"POGFW21-2W","POG: FW21-2W",,"EACH (EA)",0.00
,"POGFW21-3'","POG: FW21-3'",,"EACH (EA)",0.00
,"POGFW21-4'","POG: FW21-4'",,"EACH (EA)",0.00
,"POGFW21-4WA","POG: FW21-4WA",,"EACH (EA)",0.00
,"POGFW21-4WB","POG: FW21-4WB",,"EACH (EA)",0.00
,"POGFW22-LW","POG: FW22-LW",,"EACH (EA)",0.00
,"POGSS21-1W","POG: SS21-1W",,"EACH (EA)",0.00
,"POGSS21-2W","POG: SS21-2W",,"EACH (EA)",0.00
,"POGSS21-4W","POG: SS21-4W",,"EACH (EA)",0.00
,"POGSS21-4WE","POG: SS21-4WE",,"EACH (EA)",0.00
,"POGSS21-8'DBW","POG: SS21-8'DBW",,"EACH (EA)",0.00
,"POGSS21-BW4W","POG: SS21-BW4W",,"EACH (EA)",0.00
,"POGSS22-12'","POG: SS22-12'",,"EACH (EA)",0.00
,"POGSS22-4'","POG: SS22-4'",,"EACH (EA)",0.00
,"POGSS22-4' DP","POG: SS22-4' DP",,"EACH (EA)",0.00
,"POGSS22-4WA","POG: SS22-4WA",,"EACH (EA)",0.00
,"POGSS22-4WB","POG: SS22-4WB",,"EACH (EA)",0.00
,"POGSS22-6'","POG: SS22-6'",,"EACH (EA)",0.00
