Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
GMXPST110-SS,810312-020883 / #20883 2XL-3XL-PINWHEEL SLV TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMXRST1010-SS,810312-020876 / #20876 2XL-3XL-RUFFLE SLV TUNIC,,EACH (EA),7.75,8.10312E+11,Solid,Long Hanging Top,SS
GMXSPPT200-SS,810312-023471 / #23471 2XL-3XL SLVELESS PRINT PKT TUN,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMXSPST220-FW,810312-022689 / #22689 2XL-3XL-SOLID PKT SWG TUN,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMXTST120-SS,810312-021200 / #21200 2XL-3XL-TIE SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMXWPP200-FW,810312-020920 / #20920 2XL-3XL-WINTR PALAZO PANT,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,FW
GMXWTS106-AY,810312-021484 / #21484 2XL-GILDAN 5000-SHORT SL WHITE,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMXWTS107-AY,810312-021491 / #21491 3XL-GILDAN 5000-SHORT SL WHITE,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMXWTS130-AY,810312-021224 / #21224 2XL-GILDAN 5400-LONG SL WHITE,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMYP100-AY,810312-021569 / #21569 YOGA PANTS,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LIBDCL201-AY,810312-024461 / #24461 BUBBLE SLEEVE DUSTER (PW6154),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LIBDCL202-AY,810312-024454 / #24454 COTTON LEGGINGS (PW6154),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LIBFST101-FW,810312-020548 / #20548 BELL SLEEVE TUNIC (T8548),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIBFST102-FW,810312-020685 / #20685 FLARE BOTTOM TUNIC (T8548),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIBSD101-AY,810312-023426 / #23426 BUBBLE SLEEVE DUSTER (PWP),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
LIBSSL101-AY,810312-024164 / #24164 BLACK SUPER SOFT LEGGINGS - S-2XL (L6471),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LIBSSL102-AY,810312-024171 / #24171 BLACK SUPER SOFT LEGGINGS - 2XL-3XL (L6471),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LIBST201-FW,810312-021248 / #21248 BUTTON SLEEVE TUNIC S-M (T4865),,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,FW
LIBST202-FW,810312-022665 / #22665 BUTTON SLEEVE TUNIC L-XL (T4865),,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,FW
LIBST301-FW,810312-021248 / #21248 BUTTON SLEEVE TUNIC S-XL (T4875),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIBST302-FW,810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC (T4875),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIBWKJP101-FW,810312-023952 / #23952 BOYS WAFFLE KNIT PULLOVER (B5269),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIBWKJP102-FW,810312-023969 / #23969 BOYS FLEECE JOGGER PANTS (B5269),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LICJJ101-AY,810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICJJ102-AY,810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICP201-FW,810312-021644 / #21644 CORDUROY PANTS S-M (P4401),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LICP202-FW,810312-022801 / #22801 CORDUROY PANTS L-XL (P4401),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LICSSL101-SS,810312-024379 / #24379 PRINT CAPRI S. SOFT LEGNG (L7986),,EACH (EA),999,8.10312E+11,Printed,Carded,SS
LICSSL102-SS,810312-024386 / #24386 PRINT CAPRI S. SOFT LEGNG 2XL-3XL (L7986),,EACH (EA),999,8.10312E+11,Printed,Carded,SS
LICSSL111-SS,810312-024355 / #24355 SOLID CAPRI S. SOFT LEGNG (L5562),,EACH (EA),4.3,8.10312E+11,Solid,Carded,SS
LICSSL112-SS,810312-024362 / #24362 SOLID CAPRI S. SOFT LEGNG 2XL-3XL (L5562),,EACH (EA),4.3,8.10312E+11,Solid,Carded,SS
LICSST101-AY,810312-022399 / #22399 COTTON SIDE SLIT TEE S (T9905),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICSST102-AY,810312-022405 / #22405 COTTON SIDE SLIT TEE M (T9905),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICSST103-AY,810312-022412 / #22412 COTTON SIDE SLIT TEE L (T9905),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICSST104-AY,810312-022429 / #22429 COTTON SIDE SLIT TEE XL (T9905),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICYP201-AY,810312-022788 / #22788 COTTON YOGA PANTS S-M (P8895),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LICYP202-AY,810312-022795 / #22795 COTTON YOGA PANTS L-XL (P8895),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LIDLST101-FW,810312-020975 / #20975 DOUBLE LACE SLEEVE TUNIC S-XL (T7526),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIDLST102-FW,810312-021026 / #21026 DOUBLE LACE SLEEVE TUNIC 2XL-3XL (T7526),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIFFMA101-AY,810312-023181 / #23181 FABRIC FACE MASK - ADULT (M8198),,EACH (EA),999,8.10312E+11,0,Carded,AY
LIFFMK102-AY,810312-023198 / #23198 FABRIC FACE MASK - KIDS (M8198),,EACH (EA),999,8.10312E+11,0,Carded,AY
LIFS10041-SS,810312-020258 / #20258 FASHION SUNDRESS (D5823),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
LIFS10042-SS,810312-020623 / #20623 SURPLICE SUNDRESS (D5823),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
LIFS101-SS,810312-020258 / #20258 FASHION SUNDRESS S-XL (D5870),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
LIFS102-SS,810312-020470 / #20470 FASHION SUNDRESS 2XL-3XL (D5870),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
LIFS201-SS,810312-024300 / #24300 FASHION SUNDRESS S-XL (D1070),,EACH (EA),9,8.10312E+11,Printed,Long Hanging Dress,SS
LIFS202-SS,810312-024317 / #24317 FASHION SUNDRESS 2XL-3XL (D1070),,EACH (EA),9,8.10312E+11,Printed,Long Hanging Dress,SS
LIGDL101-AY,810312-023921 / #23921 GIRLS 3-4 SLEEVE CUTOUT BACK DRESS (G2138),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Dress,AY
LIGDL102-AY,810312-023938 / #23938 GIRLS SUPER SOFT LEGGINGS - PRINTED (G2138),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LIGDL103-AY,810312-023945 / #23945 GIRLS SUPER SOFT LEGGINGS - SOLID (G2138),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LIHFL101-FW,810312-022962 / #22962 HOLIDAY FLEECE LEGGINGS S-L (L6279),,EACH (EA),999,8.10312E+11,Printed,Carded,FW
LIHFL102-FW,810312-022979 / #22979 HOLIDAY FLEECE LEGGINGS L-XXL (L6279),,EACH (EA),999,8.10312E+11,Printed,Carded,FW
LIHLCHT101-SS,810312-024591 / #24591 HIGH LOW CURVED HEM TUNIC S-XL (T9152),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
LIHLCHT102-SS,810312-024652 / #24652 HIGH LOW CURVED HEM TUNIC 2XL-3XL (T9152),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
LIJJ101-AY,810312-022177 / #22177 JEAN JEGGING S-M (J7742),,EACH (EA),9,8.10312E+11,Solid,Carded,AY
LIJJ102-AY,810312-022542 / #22542 JEAN JEGGING L-XL (J7742),,EACH (EA),9,8.10312E+11,Solid,Carded,AY
LIKC101-FW,810312-022986 / #22986 KIMONO CARDIGAN S-M (C8693),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIKC102-FW,810312-022993 / #22993 KIMONO CARDIGAN L-XL (C8693),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIKFT201-FW,810312-022818 / #22818 KNOT FRONT TUNIC S-M (T1825),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIKFT202-FW,810312-022825 / #22825 KNOT FRONT TUNIC L-XL (T1825),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LILP101-AY,810312-022696 / #22696 LOUNGE PANTS S-M (P9602),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LILP102-AY,810312-022702 / #22702 LOUNGE PANTS L-XL (P9602),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LILP201-AY,810312-023556 / #23556 LOUNGE PANTS S-M (P5663),,EACH (EA),10,8.10312E+11,Solid,Carded,AY
LILP202-AY,810312-023563 / #23563 LOUNGE PANTS L-XL (P5663),,EACH (EA),10,8.10312E+11,Solid,Carded,AY
LILSTT201-FW,810312-021279 / #21279 LONG SLEEVE THERMAL TOP S-M (T7997),,EACH (EA),4.75,8.10312E+11,Solid,Carded,FW
LILSTT202-FW,810312-022580 / #22580 LONG SLEEVE THERMAL TOP L-XL (T7997),,EACH (EA),4.75,8.10312E+11,Solid,Carded,FW
LILSTT203-FW,810312-022597 / #22597 LONG SLEEVE THERMAL TOP 2XL-3XL (T7997),,EACH (EA),4.75,8.10312E+11,Solid,Carded,FW
LIODJ301-AY,810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J4723),,EACH (EA),10.5,8.10312E+11,Solid,Carded,AY
LIODJ302-AY,810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J4723),,EACH (EA),10.5,8.10312E+11,Solid,Carded,AY
LIODJ303-AY,810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J4723),,EACH (EA),10.5,8.10312E+11,Solid,Carded,AY
LIODJ401-AY,810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047),,EACH (EA),10.5,8.10312E+11,Solid,Carded,AY
LIODJ402-AY,810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047),,EACH (EA),10.5,8.10312E+11,Solid,Carded,AY
LIODJ403-AY,810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047),,EACH (EA),10.5,8.10312E+11,Solid,Carded,AY
LIODJ501-AY,810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J7430),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LIODJ502-AY,810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J7430),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LIOFC101-FW,810312-022498 / #22498 OPEN FRONT CARDIGAN S-M (C9804),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIOFC102-FW,810312-022504 / #22504 OPEN FRONT CARDIGAN L-XL (C9804),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIP34WKT401-AY,810312-023518 / #23518 PRINTED 3-4 WAFFLE KNIT TUNIC (T5218),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
LIPBST101-SS,810312-023099 / #23099 PRINTED BISHOP SLEEVE TUNIC S-XL (T0599),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
LIPBST102-SS,810312-023105 / #23105 PRINTED BISHOP SLEEVE TUNIC 2XL-3XL (T0599),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
LIPBST201-SS,810312-024492 / #24492 PRINTED BISHOP SLEEVE TUNIC S-XL (T9208),,EACH (EA),10,8.10312E+11,Printed,Long Hanging Top,SS
LIPBST202-SS,810312-024508 / #24508 PRINTED BISHOP SLEEVE TUNIC 2XL-3XL (T9208),,EACH (EA),10,8.10312E+11,Printed,Long Hanging Top,SS
LIPDFM101-AY,810312-023372 / #23372 PRINTED DISP FACE MASK - KIDS (M6572),,EACH (EA),999,8.10312E+11,0,Carded,AY
LIPDFM102-AY,810312-023365 / #23365 PRINTED DISP FACE MASK - ADULT (M6572),,EACH (EA),999,8.10312E+11,0,Carded,AY
LIPDJ201-AY,810312-021552 / #21552 PRINTED JEGGING S-M (P5232),,EACH (EA),9,8.10312E+11,Printed,Carded,AY
LIPDJ202-AY,810312-022832 / #22832 PRINTED JEGGING L-XL (P5232),,EACH (EA),9,8.10312E+11,Printed,Carded,AY
LIPDJ301-AY,810312-023846 / #23846 PRINTED JEGGING S-M (J4660),,EACH (EA),10.5,8.10312E+11,Printed,Carded,AY
LIPDJ302-AY,810312-023853/ #23853 PRINTED JEGGING L-XL (J4660),,EACH (EA),10.5,8.10312E+11,Printed,Carded,AY
LIPDJ303-AY,810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660),,EACH (EA),10.5,8.10312E+11,Printed,Carded,AY
LIPDST101-FW,810312-024331 / #24331 PRINTED DROP SHOULDER TUNIC (T3148),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
LIPDST102-FW,810312-024348 / #24348 PRINTED DROP SHOULDER TUNIC 2XL-3XL (T3148),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
LIPHC101-FW,810312-023532 / #23532 PRINTED HOODED CARDIGAN (C3249),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,FW
LIPHHT101-FW,810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259),,EACH (EA),8,8.10312E+11,Printed,Long Hanging Top,FW
LIPHHT102-FW,810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259),,EACH (EA),8,8.10312E+11,Printed,Long Hanging Top,FW
LIPKT101-FW,810312-023266 / #23266 PLUSH KNIT TUNIC S-XL (T6673),,EACH (EA),9,8.10312E+11,Solid,Long Hanging Top,FW
LIPKT102-FW,810312-023273 / #23273 PLUSH KNIT TUNIC 2XL-3XL (T6673),,EACH (EA),9,8.10312E+11,Solid,Long Hanging Top,FW
LIPOS101-FW,810312-020234 / #20234 PULL OVER SHAWL (S3455),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,FW
LIPOS102-FW,810312-021255 / #21255 PRINTED SWEATER VEST (S3455),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,FW
LIPP201-FW,810312-020340 / #20340 PLUSH PANTS S-M (P4073),,EACH (EA),6,8.10312E+11,Printed,Long Hanging Pants,FW
LIPP202-FW,810312-022573 / #22573 PLUSH PANTS L-XL (P4073),,EACH (EA),6,8.10312E+11,Printed,Long Hanging Pants,FW
LIPPP201-SS,810312-020555 / #20555 PRINTED PALAZZO PANTS S-XL (P5590),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
LIPPP202-SS,810312-020890 / #20890 2XL-3XL-PRINT PALAZO PANTS (P5590),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
LIPPST101-FW,810312-021705 / #21705 PRINTED POCKET SWING TUNIC S-M (T0541),,EACH (EA),7.5,8.10312E+11,Printed,Long Hanging Top,FW
LIPPST102-FW,810312-022641 / #22641 PRINTED POCKET SWING TUNIC L-XL (T0541),,EACH (EA),7.5,8.10312E+11,Printed,Long Hanging Top,FW
LIPPST301-FW,810312-021705 / #21705 PRINTED POCKET SWING TUNIC S-XL (T7205),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIPPST302-FW,810312-022672 / #22672 PRINT PKT SWG TUNIC 2XL-3XL (T7205),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
LIPRHBST101-FW,810312-023280 / #23280 PRINTED RD HEM BISHOP SLE TUNIC S-XL (T8097),,EACH (EA),8,8.10312E+11,Printed,Long Hanging Top,FW
LIPRHBST102-FW,810312-023297 / #23297 PRINTED RD HEM BISHOP SLE TUNIC 2XL-3XL (T8097),,EACH (EA),8,8.10312E+11,Printed,Long Hanging Top,FW
LIPSD101-SS,810312-024638 / #24638 PRINTED SHIRTTAIL DRESS S-XL (D3845),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
LIPSD102-SS,810312-024645 / #24645 PRINTED SHIRTTAIL DRESS 2XL-3XL (D3845),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
LIPSSPT101-SS,810312-024577 / #245771 PRINTED SHORT SLEEVE POCKET TUNIC S-XL (T7784),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
LIPSSPT102-SS,810312-024584 / #24584 PRINTED SHORT SLEEVE POCKET TUNIC 2XL-3XL (T7784),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
LIPSST101-FW,810312-024119 / #24119 PRINTED V-NECK SIDE SLIT TUNIC S-XL (T1926),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
LIPSST102-FW,810312-024126 / #24126 PRINTED V-NECK SIDE SLIT TUNIC 2XL-3XL (T1926),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
LIPTPP101-SS,810312-023075 / #23075 PRINTED TASSEL TIE PALAZZO PANTS S-XL (P7582),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
LIPTPP102-SS,810312-023082 / #23082 PRINTED TASSEL TIE PALAZZO PANTS 2XL-3XL (P7582),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
LIPTPP201-SS,810312-024393 / #24393 PRINTED TASSEL TIE PALAZZO PANTS S-XL (P9309),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
LIPTPP202-SS,810312-024409 / #24409 PRINTED TASSEL TIE PALAZZO PANTS 2XL-3XL (P9309),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
LIPVN34BCT201-AY,810312-023211 / #23211 PRINT V-NECK 3-4 BAND CLR TUNIC (T0411),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
LIPVN34ST101-AY,810312-022238 / #22238 PRINT V-NECK 3-4 SL TUNIC S-M (T5038),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
LIPVN34ST102-AY,810312-022245 / #22245 PRINT V-NECK 3-4 SL TUNIC L-XL (T5038),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
LIRHSST101-AY,810312-022559 / #22559 ROUNDED HEM SS TEE S-M (T5966),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LIRHSST102-AY,810312-022566 / #22566 ROUNDED HEM SS TEE L-XL (T5966),,EACH (EA),999,8.10312E+11,Mix,Carded,AY
LIRKP101-FW,810312-023327 / #23327 RIBBED KNIT PANTS S-XL (P2734),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Pants,FW
LIRKP102-FW,810312-023334 / #23334 RIBBED KNIT PANTS 2XL-3XL (P2734),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Pants,FW
LIRUST101-FW,810312-021729 / #21729 ROLL UP SLEEVE TUNIC S-M (T2919),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIRUST102-FW,810312-022719 / #22719 ROLL UP SLEEVE TUNIC L-XL (T2919),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LIS34PBT402-AY,810312-023525 / #23525 SOLID 3-4 PLEAT BACK TUNIC (T5218),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
LISBST101-SS,810312-024201 / #24201 SOLID BACK SLIT TUNIC S-XL (T1801),,EACH (EA),10,8.10312E+11,Solid,Long Hanging Top,SS
LISBST102-SS,810312-024218 / #24218 SOLID BACK SLIT TUNIC 2XL-3XL (T1801),,EACH (EA),10,8.10312E+11,Solid,Long Hanging Top,SS
LISBT201-FW,810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633),,EACH (EA),9,8.10312E+11,Solid,Long Hanging Top,FW
LISBT202-FW,810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633),,EACH (EA),9,8.10312E+11,Solid,Long Hanging Top,FW
LISC101-AY,810312-022511 / #22511 SEAMLESS CAMISOLE S-M (T1128),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISC102-AY,810312-022528 / #22528 SEAMLESS CAMISOLE L-2XL (T1128),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISCL101-AY,810312-023488 / #23488 SOLID COTTON WIDE WTBD LEGS S-XL (L9588),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISCL102-AY,810312-023495 / #23495 SOLID COTTON WIDE WTBD LEGS 2XL-3XL (L9588),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISCL201-AY,810312-024287 / #24287 SOLID COTTON LEGGINGS S-XL (L8794),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISCL202-AY,810312-024294 / #24294 SOLID COTTON LEGGINGS 2XL-3XL (L8794),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISCP101-AY,810312-023389 / #23389 SOLID CASUAL PANTS S-XL (P8957),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISCP102-AY,810312-024157 / #24157 SOLID CASUAL PANTS 2XL-3XL (P8957),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISDJ101-AY,810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5153),,EACH (EA),8.8,8.10312E+11,Solid,Carded,AY
LISDJ102-AY,810312-023358 / #23358 SOLID DENIM JEGGING L-XL (J5153),,EACH (EA),8.8,8.10312E+11,Solid,Carded,AY
LISDJ103-AY,810312-021453 / #21453 SOLID DENIM JEGGING 2XL-3XL (J5153),,EACH (EA),8.8,8.10312E+11,Solid,Carded,AY
LISDJ201-AY,810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5853),,EACH (EA),8.8,8.10312E+11,Solid,Carded,AY
LISDJ202-AY,810312-023358 / #23358 SOLID DENIM JEGGING L-XL (J5853),,EACH (EA),8.8,8.10312E+11,Solid,Carded,AY
LISDJ203-AY,810312-021453 / #21453 SOLID DENIM JEGGING 2XL-3XL (J5853),,EACH (EA),8.8,8.10312E+11,Solid,Carded,AY
LISFL201-FW,810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS S-L (L5634),,EACH (EA),3.75,8.10312E+11,Solid,Carded,FW
LISFL202-FW,810312-022634 / #22634 SEAMLESS FLEECE LEGGINGS L-XXL (L5634),,EACH (EA),3.75,8.10312E+11,Solid,Carded,FW
LISFL301-FW,810312-023907 / #23907 SEAMLESS FLEECE LEGGINGS (L1407),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LISFL302-FW,810312-023914 / #23914 TEXTURED FLEECE LEGGINGS (L1407),,EACH (EA),999,8.10312E+11,Solid,Carded,FW
LISHC101-FW,810312-023549 / #23549 SOLID HOODED CARDIGAN (C3249),,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,FW
LISJJ101-AY,810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISJJ102-AY,810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISJJ103-AY,810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISPPT101-SS,810312-024478 / #024478 PRINTED POCKET SLEEVELSS TUNIC (T7885),,EACH (EA),9,8.10312E+11,Printed,Long Hanging Top,SS
LISPPT102-SS,810312-024485 / #024485 PRINTED POCKET SLVELSS TUN 2XL-3XL(T7885),,EACH (EA),9,8.10312E+11,Printed,Long Hanging Top,SS
LISPSLT101-SS,810312-024614 / #24614 SOLID POCKET SLEEVELESS TUNIC S-XL (T1421),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LISPSLT102-SS,810312-024621 / #24621 SOLID POCKET SLEEVELESS TUNIC 2XL-3XL (T1421),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LISPST101-FW,810312-021712 / #21712 SOLID POCKET SWING TUNIC S-M (T1258),,EACH (EA),8,8.10312E+11,Solid,Long Hanging Top,FW
LISPST102-FW,810312-022658 / #22658 SOLID POCKET SWING TUNIC L-XL (T1258),,EACH (EA),8,8.10312E+11,Solid,Long Hanging Top,FW
LISPST201-FW,810312-021712 / #21712 SOLID POCKET SWING TUNIC S-XL (T1289),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LISPST202-FW,810312-022689 / #22689 2XL-3XL SOLID PKT SWG TUNIC (T1289),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LISPUFFS101-FW,810312-024133 / #24133 SOLID PUFF SLEEVE TUNIC S-XL (T3340),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LISPUFFS102-FW,810312-024140 / #24140 SOLID PUFF SLEEVE TUNIC 2XL-3XL (T3340),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
LISSCS101-SS,810312-024539 / #24539 PRINT S. SOFT CASUAL SHORTS (S3960),,EACH (EA),999,8.10312E+11,Mix,Carded,SS
LISSCS102-SS,810312-024546 / #24546 PRINT S. SOFT CASUAL SHORTS 2XL-3XL (S3960),,EACH (EA),999,8.10312E+11,Mix,Carded,SS
LISSCS103-SS,810312-024553 / #24553 SOLID S. SOFT CASUAL SHORTS (S3960),,EACH (EA),999,8.10312E+11,Mix,Carded,SS
LISSCS104-SS,810312-024560 / #24560 SOLID S. SOFT CASUAL SHORTS 2XL-3XL (S3960),,EACH (EA),999,8.10312E+11,Mix,Carded,SS
LISSH101-AY,810312-023006 / #23006 SUPER SOFT HOODIE S-M (T0613),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
LISSH102-AY,810312-023013 / #23013 SUPER SOFT HOODIE L-XL (T0613),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
LISSHT101-SS,810312-023457 / #23457 SOLID SYM HEMLINE TUNIC S-XL (T5764),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LISSHT102-SS,810312-023464 / #23464 SOLID SYM HEMLINE TUNIC 2XL-3XL (T5764),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LISSHT201-SS,810312-024430 / #24430 SOLID SYM HEMLINE TUNIC S-XL (T4730),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LISSHT202-SS,810312-024447 / #24447 SOLID SYM HEMLINE TUNIC 2XL-3XL (T4730),,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
LISSL101-AY,810312-022290 / #22290 SUP SOFT LEG PRINT S-L (L9006),,EACH (EA),999,8.10312E+11,Printed,Carded,AY
LISSL102-AY,810312-022306 / #22306 SUP SOFT LEG PRINT L-2XL (L9006),,EACH (EA),999,8.10312E+11,Printed,Carded,AY
LISSL111-AY,810312-022313 / #22313 SUP SOFT LEG SOLID BLK S-L (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
LISSL112-AY,810312-022320 / #22320 SUP SOFT LEG SOLID BLK L-2XL (L1320),,EACH (EA),999,8.10312E+11,Solid,Carded,AY
